Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Southern-Italian,Japanese Fusion,Korean,Indonesian,Middle Eastern,Central-Italian,Diner,Steakhouse,Pizza,Southwestern,Wine Bar,Cajun & Creole,Bar,Latin,Seafood,Scottish,Mexican,Singaporean,Central European,Spanish,Deli,Cafe,Barbecue,Gastropub,Italian,Mongolian,Vietnamese,Thai,International,French,Contemporary,Polynesian,German,Afghani,Street Food,Lebanese,Australian,Cuban,Pub,Soups,Fusion,Moroccan,Caribbean,Dining bars,Sushi,Sri Lankan,Portuguese,Malaysian,Asian,British,Mediterranean,Turkish,Healthy,Indian,Irish,Pakistani,Arabic,Sicilian,Japanese,African,Fast Food,Beer restaurants,Fujian,Chinese,European,American,Grill,Dog Friendly,Gift Cards Available,Serves Alcohol,Digital Payments,Accepts Credit Cards,Buffet,Accepts Mastercard,BYOB,Live Music,Family style,Table Service,Takeout,Wheelchair Accessible,Wine and Beer,Full Bar,Accepts Discover,Cash Only,Free off-street parking,Valet Parking,Private Dining,Delivery,Accepts Visa,Television,Highchairs Available,Validated Parking,Reservations,Jazz Bar,Non-smoking restaurants,Free Wifi,Accepts American Express,Street Parking,Beach,Parking Available,Outdoor Seating,Waterfront,Seating,Halal,Vegetarian Friendly,Kosher,Nonveg,Vegan Options,Gluten Free Options,Drinks,Late Night,Lunch,Breakfast,Brunch,Dinner,Budget,Low,Medium,High,cluster
King of the Mambo,"Galle Face Hotel, Colombo 00300 Sri Lanka","Galle Face Hotel, Colombo 00300","[' 2,000 ', '  30,000']","Seafood, International, Grill, Cuban, Latin, Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Reservations, Seating, Validated Parking, Serves Alcohol, Full Bar, Table Service, Live Music, Waterfront",https://www.tripadvisor.com/Restaurant_Review-g293962-d15247064-Reviews-King_of_the_Mambo-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,Medium,0,1,0,1
Sapphyr Lounge,"02 No 01 Galle Face Shangri-La Hotel Colombo, Colombo 00200 Sri Lanka","Galle Face Shangri-La Hotel Colombo, Colombo 00200","[' 2,000 ', '  5,000']","Cafe, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Drinks","Reservations, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking",https://www.tripadvisor.com/Restaurant_Review-g293962-d15643402-Reviews-Sapphyr_Lounge-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,Low,1,0,0,1
Shang Palace,"02 1 Galle Face Shangri-La Hotel, Colombo 00200 Sri Lanka","Galle Face Shangri-La Hotel, Colombo 00200 ","[' 2,000 ', '  30,000']",Chinese,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Private Dining, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13148335-Reviews-Shang_Palace-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,Medium,0,1,0,1
"The Ocean, The Kingsbury","48 Janadhipathi Mawatha,, Colombo Sri Lanka","Janadhipathi Mawatha,, Colombo","[' 500 ', '  30,000']","Seafood, Asian, Sri Lankan",Gluten Free Options,"Lunch, Dinner, Late Night","Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Waterfront, Gift Cards Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d3834786-Reviews-The_Ocean_The_Kingsbury-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,Medium,0,1,0,1
Kings Steakbar,"Janadhipathi Mawatha Kingsbury Hotel, Colombo Sri Lanka","Janadhipathi Mawatha Kingsbury Hotel, Colombo ","[' 2,000 ', '  30,000']","Bar, European","Gluten Free Options, Vegetarian Friendly","Lunch, Dinner","Reservations, Seating, 有泊車位, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d10798544-Reviews-Kings_Steakbar-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,Medium,0,1,0,1
L.A.B,"Hilton Colombo 2 Sir Chittampalam a Gardiner MW, Colombo 00200 Sri Lanka","Hilton Colombo 2 Sir Chittampalam a Gardiner MW, Colombo 00200","[' 989 ', '  118,694']","Bar, Cafe, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks, Breakfast","Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Reservations, Outdoor Seating, Highchairs Available, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d11769457-Reviews-L_A_B-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,High,0,0,1,1
Graze Kitchen,"Number 2 Sir Chittampalam A Gardiner Mawatha Hilton Colombo, Colombo 00200 Sri Lanka","Sir Chittampalam A Gardiner Mawatha Hilton Colombo, Colombo 00200","[' 3,363 ', '  5,935']","Italian, Chinese, Indian, International, Sushi, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d11667290-Reviews-Graze_Kitchen-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,Medium,0,1,0,1
Capital Bar & Grill,"02 1 Galle Face, Colombo Shangri-La Hotel, Colombo, Colombo 00200 Sri Lanka","Galle Face, Colombo Shangri-La Hotel, Colombo, Colombo 00200 ","[' 1,978 ', '  39,565']","Steakhouse, Bar, European, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d13170985-Reviews-Capital_Bar_Grill-Colombo_Western_Province.html,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,Medium,0,1,0,1
Nuga Gama,"77 Galle Road, Colombo Sri Lanka","Galle Road, Colombo Sri Lanka","[' 5000 ', '  34,000']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3267177-Reviews-Nuga_Gama-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,Medium,0,1,0,1
Noodles Restaurant,"Galle Road A2 Cinnamon Grand Colombo, Colombo Sri Lanka","Cinnamon Grand Colombo, Colombo ","[' 1000 ', '  34,000']","Chinese, Asian, Thai, Vietnamese, Healthy, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15685094-Reviews-Noodles_Restaurant-Colombo_Western_Province.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,Medium,0,1,0,1
